paperId,authorId,name,affiliations
4fcfe83c05402b5c5fb6e853082e74af6379d7f9,145148787,Lewis J. Watson,
4fcfe83c05402b5c5fb6e853082e74af6379d7f9,2143919864,Diyi Yang,
83cebf919635504786fc220d569284842b0f0a09,151207081,Shreyansh Goyal,
83cebf919635504786fc220d569284842b0f0a09,2072738714,Sumanth Doddapaneni,
83cebf919635504786fc220d569284842b0f0a09,2361078,Mitesh M. Khapra,
83cebf919635504786fc220d569284842b0f0a09,2059566473,B. Ravindran,
77a096d80eb4dd4ccd103d1660c5a5498f7d026b,1743722,Douwe Kiela,
77a096d80eb4dd4ccd103d1660c5a5498f7d026b,153408953,Max Bartolo,
77a096d80eb4dd4ccd103d1660c5a5498f7d026b,40383658,Yixin Nie,
77a096d80eb4dd4ccd103d1660c5a5498f7d026b,9264826,Divyansh Kaushik,
77a096d80eb4dd4ccd103d1660c5a5498f7d026b,80833908,Atticus Geiger,
77a096d80eb4dd4ccd103d1660c5a5498f7d026b,47039337,Zhengxuan Wu,
77a096d80eb4dd4ccd103d1660c5a5498f7d026b,2737827,Bertie Vidgen,
77a096d80eb4dd4ccd103d1660c5a5498f7d026b,119869488,Grusha Prasad,
77a096d80eb4dd4ccd103d1660c5a5498f7d026b,,Amanpreet Singh,
77a096d80eb4dd4ccd103d1660c5a5498f7d026b,1422035486,Pratik Ringshia,
77a096d80eb4dd4ccd103d1660c5a5498f7d026b,1736107,Zhiyi Ma,
77a096d80eb4dd4ccd103d1660c5a5498f7d026b,1500242049,Tristan Thrush,
77a096d80eb4dd4ccd103d1660c5a5498f7d026b,48662861,Sebastian Riedel,
77a096d80eb4dd4ccd103d1660c5a5498f7d026b,2138053020,Zeerak Talat,
77a096d80eb4dd4ccd103d1660c5a5498f7d026b,1918552,Pontus Stenetorp,
77a096d80eb4dd4ccd103d1660c5a5498f7d026b,3422908,Robin Jia,
77a096d80eb4dd4ccd103d1660c5a5498f7d026b,143977268,Mohit Bansal,
77a096d80eb4dd4ccd103d1660c5a5498f7d026b,144922861,Christopher Potts,
77a096d80eb4dd4ccd103d1660c5a5498f7d026b,2110032535,Adina Williams,
03532123ccffae8d411264320e8a5ae2b6eddea0,144112155,O. Khattab,
03532123ccffae8d411264320e8a5ae2b6eddea0,50818255,Keshav Santhanam,
03532123ccffae8d411264320e8a5ae2b6eddea0,32551341,Xiang Lisa Li,
03532123ccffae8d411264320e8a5ae2b6eddea0,145385471,David Leo Wright Hall,
03532123ccffae8d411264320e8a5ae2b6eddea0,145419642,Percy Liang,
03532123ccffae8d411264320e8a5ae2b6eddea0,144922861,Christopher Potts,
03532123ccffae8d411264320e8a5ae2b6eddea0,143834867,M. Zaharia,
087dd95e13efd47aef2a6582e6801b39fc0f83d8,48727916,Jay DeYoung,
087dd95e13efd47aef2a6582e6801b39fc0f83d8,49837811,Sarthak Jain,
087dd95e13efd47aef2a6582e6801b39fc0f83d8,8937909,Nazneen Rajani,
087dd95e13efd47aef2a6582e6801b39fc0f83d8,51172373,Eric P. Lehman,
